Participant;Category;Device;Order;Choropleth1;Choropleth2;Choropleth3;Choropleth4;Choropleth5;Point1;Point2;Point3;Point4
P30;01-Beginner;Desktop;Smartphone-Desktop;12;21;12;21;44;13;20;8;6
P31;01-Beginner;Desktop;Desktop-Smartphone;13;18;8;105;58;14;16;26;37
P32;01-Beginner;Desktop;Smartphone-Desktop;12;48;21;40;39;16;16;11;10
P33;01-Beginner;Desktop;Desktop-Smartphone;2;2;33;38;27;7;23;16;9
P34;01-Beginner;Desktop;Smartphone-Desktop;88;43;52;64;16;18;8;8;57
P35;01-Beginner;Desktop;Desktop-Smartphone;38;2;18;65;38;20;5;7;5
P36;01-Beginner;Desktop;Smartphone-Desktop;8;11;19;23;32;12;22;20;16
P37;01-Beginner;Desktop;Desktop-Smartphone;18;9;16;29;8;14;5;5;6
P38;01-Beginner;Desktop;Smartphone-Desktop;11;24;43;38;61;23;38;17;13
P39;01-Beginner;Desktop;Desktop-Smartphone;8;17;2;10;10;10;5;5;16
P40;01-Beginner;Desktop;Smartphone-Desktop;19;11;2;18;12;12;10;5;5
P41;01-Beginner;Desktop;Desktop-Smartphone;3;2;6;46;21;12;12;17;9
P42;01-Beginner;Desktop;Smartphone-Desktop;8;67;27;22;52;12;12;12;11
P43;01-Beginner;Desktop;Desktop-Smartphone;15;5;21;36;62;5;13;11;7
P08;02-Intermediate;Desktop;Smartphone-Desktop;14;8;59;50;40;12;28;19;30
P09;02-Intermediate;Desktop;Desktop-Smartphone;23;46;27;38;7;12;20;6;7
P11;02-Intermediate;Desktop;Desktop-Smartphone;23;29;2;34;17;18;20;5;11
P12;02-Intermediate;Desktop;Smartphone-Desktop;30;24;32;24;42;18;15;12;9
P13;02-Intermediate;Desktop;Desktop-Smartphone;5;24;5;16;4;19;12;13;15
P14;02-Intermediate;Desktop;Smartphone-Desktop;26;31;36;89;11;15;20;11;13
P15;02-Intermediate;Desktop;Desktop-Smartphone;44;52;74;102;67;29;25;20;26
P16;02-Intermediate;Desktop;Smartphone-Desktop;15;29;44;45;27;16;17;10;21
P17;02-Intermediate;Desktop;Desktop-Smartphone;8;41;29;29;52;19;18;7;5
P18;02-Intermediate;Desktop;Smartphone-Desktop;18;35;38;48;19;13;14;13;18
P19;02-Intermediate;Desktop;Desktop-Smartphone;11;8;18;20;8;16;20;10;18
P22;02-Intermediate;Desktop;Smartphone-Desktop;13;15;37;35;69;28;13;6;7
P23;02-Intermediate;Desktop;Desktop-Smartphone;12;23;84;236;70;43;39;51;33
P24;02-Intermediate;Desktop;Smartphone-Desktop;2;2;4;9;11;15;16;7;9
P25;02-Intermediate;Desktop;Desktop-Smartphone;11;23;111;24;31;5;16;5;13
P27;02-Intermediate;Desktop;Desktop-Smartphone;18;24;25;37;39;41;27;30;18
P28;02-Intermediate;Desktop;Smartphone-Desktop;8;23;60;30;95;15;27;10;9
P29;02-Intermediate;Desktop;Desktop-Smartphone;14;5;2;10;12;39;27;18;7
P01;03-Advanced;Desktop;Smartphone-Desktop;9;16;38;34;13;10;12;8;10
P02;03-Advanced;Desktop;Smartphone-Desktop;17;31;26;23;25;5;11;5;5
P03;03-Advanced;Desktop;Desktop-Smartphone;11;11;83;36;33;17;31;16;14
P04;03-Advanced;Desktop;Smartphone-Desktop;17;43;36;55;47;16;24;10;12
P05;03-Advanced;Desktop;Desktop-Smartphone;24;25;37;56;6;46;58;31;54
P06;03-Advanced;Desktop;Smartphone-Desktop;15;8;33;54;22;18;17;13;11
P07;03-Advanced;Desktop;Desktop-Smartphone;11;11;97;64;15;10;13;18;9
P20;03-Advanced;Desktop;Smartphone-Desktop;25;15;97;35;76;15;31;12;20
P21;03-Advanced;Desktop;Desktop-Smartphone;17;2;8;8;15;21;24;27;13
P30;01-Beginner;Smartphone;Smartphone-Desktop;30;79;18;89;87;39;31;22;30
P31;01-Beginner;Smartphone;Desktop-Smartphone;30;39;23;28;22;10;26;54;77
P32;01-Beginner;Smartphone;Smartphone-Desktop;22;20;13;88;119;22;20;14;14
P33;01-Beginner;Smartphone;Desktop-Smartphone;18;53;16;117;24;19;22;15;15
P34;01-Beginner;Smartphone;Smartphone-Desktop;2;28;60;66;48;16;41;39;93
P35;01-Beginner;Smartphone;Desktop-Smartphone;85;79;187;26;62;41;22;37;38
P36;01-Beginner;Smartphone;Smartphone-Desktop;11;25;11;79;19;13;22;19;16
P37;01-Beginner;Smartphone;Desktop-Smartphone;28;86;96;71;52;13;14;51;122
P38;01-Beginner;Smartphone;Smartphone-Desktop;25;14;56;118;153;16;43;51;70
P39;01-Beginner;Smartphone;Desktop-Smartphone;5;22;15;43;15;16;33;24;41
P40;01-Beginner;Smartphone;Smartphone-Desktop;15;33;15;41;41;29;21;20;32
P41;01-Beginner;Smartphone;Desktop-Smartphone;22;41;34;52;55;24;56;35;32
P42;01-Beginner;Smartphone;Smartphone-Desktop;24;36;65;118;230;28;28;18;14
P43;01-Beginner;Smartphone;Desktop-Smartphone;19;16;40;61;65;19;25;32;13
P08;02-Intermediate;Smartphone;Smartphone-Desktop;32;5;6;11;30;27;24;38;25
P09;02-Intermediate;Smartphone;Desktop-Smartphone;20;25;22;58;39;21;30;28;34
P11;02-Intermediate;Smartphone;Desktop-Smartphone;12;35;8;72;54;28;43;23;10
P12;02-Intermediate;Smartphone;Smartphone-Desktop;26;79;87;72;138;25;26;16;23
P13;02-Intermediate;Smartphone;Desktop-Smartphone;7;25;35;31;71;17;31;16;16
P14;02-Intermediate;Smartphone;Smartphone-Desktop;30;39;44;54;215;30;45;28;19
P15;02-Intermediate;Smartphone;Desktop-Smartphone;20;26;299;49;45;30;29;18;25
P16;02-Intermediate;Smartphone;Smartphone-Desktop;21;29;56;91;38;19;33;21;17
P17;02-Intermediate;Smartphone;Desktop-Smartphone;15;35;52;72;134;29;27;35;28
P18;02-Intermediate;Smartphone;Smartphone-Desktop;21;30;50;55;75;18;15;10;13
P19;02-Intermediate;Smartphone;Desktop-Smartphone;2;20;13;20;27;17;23;16;20
P22;02-Intermediate;Smartphone;Smartphone-Desktop;34;46;66;46;27;28;36;25;27
P23;02-Intermediate;Smartphone;Desktop-Smartphone;33;29;217;125;147;66;85;67;122
P24;02-Intermediate;Smartphone;Smartphone-Desktop;12;8;6;7;19;44;26;17;12
P25;02-Intermediate;Smartphone;Desktop-Smartphone;50;17;51;38;50;37;40;32;32
P27;02-Intermediate;Smartphone;Desktop-Smartphone;36;33;74;77;74;23;42;15;11
P28;02-Intermediate;Smartphone;Smartphone-Desktop;49;31;104;77;44;15;29;23;13
P29;02-Intermediate;Smartphone;Desktop-Smartphone;5;10;7;44;27;33;77;17;28
P01;03-Advanced;Smartphone;Smartphone-Desktop;17;23;88;100;111;19;34;15;18
P02;03-Advanced;Smartphone;Smartphone-Desktop;24;29;63;120;76;35;24;40;14
P03;03-Advanced;Smartphone;Desktop-Smartphone;31;29;72;66;79;29;26;17;26
P04;03-Advanced;Smartphone;Smartphone-Desktop;24;94;92;127;139;38;44;17;31
P05;03-Advanced;Smartphone;Desktop-Smartphone;21;44;53;108;35;42;52;37;36
P06;03-Advanced;Smartphone;Smartphone-Desktop;39;35;59;75;38;78;87;96;80
P07;03-Advanced;Smartphone;Desktop-Smartphone;16;21;18;52;50;18;26;14;11
P20;03-Advanced;Smartphone;Smartphone-Desktop;30;35;88;170;58;26;24;12;20
P21;03-Advanced;Smartphone;Desktop-Smartphone;8;34;27;70;14;32;25;32;97
